Packet drops detected:
At index 28895 (Timestamp: 20240605 14:23:23), Delay: 2.0 seconds
At index 28925 (Timestamp: 20240605 14:23:54), Delay: 2.0 seconds
At index 28980 (Timestamp: 20240605 14:24:50), Delay: 2.0 seconds
At index 29006 (Timestamp: 20240605 14:25:17), Delay: 2.0 seconds
At index 29035 (Timestamp: 20240605 14:25:47), Delay: 2.0 seconds
At index 29067 (Timestamp: 20240605 14:26:20), Delay: 2.0 seconds
At index 29073 (Timestamp: 20240605 14:26:27), Delay: 2.0 seconds
At index 29114 (Timestamp: 20240605 14:27:09), Delay: 2.0 seconds
At index 29128 (Timestamp: 20240605 14:27:24), Delay: 2.0 seconds
At index 29155 (Timestamp: 20240605 14:27:52), Delay: 2.0 seconds
At index 29219 (Timestamp: 20240605 14:28:57), Delay: 2.0 seconds
At index 29229 (Timestamp: 20240605 14:29:08), Delay: 2.0 seconds
At index 29261 (Timestamp: 20240605 14:29:41), Delay: 2.0 seconds
At index 29320 (Timestamp: 20240605 14:30:41), Delay: 2.0 seconds
At index 29376 (Timestamp: 20240605 14:31:38), Delay: 2.0 seconds
At index 29412 (Timestamp: 20240605 14:32:15), Delay: 2.0 seconds
At index 29476 (Timestamp: 20240605 14:33:20), Delay: 2.0 seconds
At index 29542 (Timestamp: 20240605 14:34:27), Delay: 2.0 seconds
At index 29558 (Timestamp: 20240605 14:34:44), Delay: 2.0 seconds
At index 29617 (Timestamp: 20240605 14:35:44), Delay: 2.0 seconds
At index 29681 (Timestamp: 20240605 14:36:49), Delay: 2.0 seconds
At index 29725 (Timestamp: 20240605 14:37:34), Delay: 2.0 seconds
At index 29784 (Timestamp: 20240605 14:38:34), Delay: 2.0 seconds
At index 29848 (Timestamp: 20240605 14:39:39), Delay: 2.0 seconds
At index 29855 (Timestamp: 20240605 14:39:47), Delay: 2.0 seconds
At index 29878 (Timestamp: 20240605 14:40:11), Delay: 2.0 seconds
At index 29915 (Timestamp: 20240605 14:40:49), Delay: 2.0 seconds
At index 29938 (Timestamp: 20240605 14:41:13), Delay: 2.0 seconds
At index 29970 (Timestamp: 20240605 14:41:46), Delay: 2.0 seconds
At index 29977 (Timestamp: 20240605 14:41:54), Delay: 2.0 seconds
At index 30012 (Timestamp: 20240605 14:42:30), Delay: 2.0 seconds
At index 30034 (Timestamp: 20240605 14:42:53), Delay: 2.0 seconds
At index 30098 (Timestamp: 20240605 14:43:58), Delay: 2.0 seconds
At index 30158 (Timestamp: 20240605 14:44:59), Delay: 2.0 seconds
At index 30174 (Timestamp: 20240605 14:45:16), Delay: 2.0 seconds
At index 30220 (Timestamp: 20240605 14:46:03), Delay: 2.0 seconds
At index 30221 (Timestamp: 20240605 14:46:05), Delay: 2.0 seconds
At index 30261 (Timestamp: 20240605 14:46:46), Delay: 2.0 seconds
At index 30285 (Timestamp: 20240605 14:47:11), Delay: 2.0 seconds
At index 30333 (Timestamp: 20240605 14:48:00), Delay: 2.0 seconds
At index 30374 (Timestamp: 20240605 14:48:42), Delay: 2.0 seconds
At index 30397 (Timestamp: 20240605 14:49:06), Delay: 2.0 seconds
At index 30419 (Timestamp: 20240605 14:49:29), Delay: 2.0 seconds
At index 30454 (Timestamp: 20240605 14:50:05), Delay: 2.0 seconds
At index 30477 (Timestamp: 20240605 14:50:29), Delay: 2.0 seconds
At index 30541 (Timestamp: 20240605 14:51:34), Delay: 2.0 seconds
At index 30608 (Timestamp: 20240605 14:52:42), Delay: 2.0 seconds
At index 30673 (Timestamp: 20240605 14:53:48), Delay: 2.0 seconds
At index 30728 (Timestamp: 20240605 14:54:44), Delay: 2.0 seconds
At index 30779 (Timestamp: 20240605 14:55:36), Delay: 2.0 seconds
At index 30826 (Timestamp: 20240605 14:56:24), Delay: 2.0 seconds
At index 30862 (Timestamp: 20240605 14:57:01), Delay: 2.0 seconds
At index 30913 (Timestamp: 20240605 14:57:53), Delay: 2.0 seconds
At index 30977 (Timestamp: 20240605 14:58:58), Delay: 2.0 seconds
At index 31014 (Timestamp: 20240605 14:59:36), Delay: 2.0 seconds
At index 31076 (Timestamp: 20240605 15:00:39), Delay: 2.0 seconds
